LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-57, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,C0:25:06:0D:4B:7D,-87, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-58, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,FRITZ!Box Fon WLAN 7270,C0:25:06:0D:4B:7D,-81, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-59, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-58, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,7A:6A:1F:3A:95:B9,-57, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,78:6A:1F:3A:95:E9,-57, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,7A:6A:1F:3A:95:99,-56, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-60, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-59, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-59, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-58, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-59, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,E6:63:DA:07:47:21,-83, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,EA:63:DA:07:47:21,-83, ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-59, WEP ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 19:18:20,1900-01-00 00:00:00,,00:1E:C0:25:45:AD,-59, WEP ,0.000000,0.000000,0.000,0.000,AP
