Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;XR18-25-45-AD;00:1E:C0:25:45:AD;;1;No;WEP;No;54.0;0;22;0;119;0;0;119;;;Tue Dec 24 18:39:24 2024;Tue Dec 24 18:39:50 2024;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;WiTre_IoT;E6:63:DA:15:71:BE;;1;No;WPA2,AES-CCM;No;195.0;0;11;0;0;0;0;0;;;Tue Dec 24 18:39:24 2024;Tue Dec 24 18:39:47 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;WiTre_Gast;EA:63:DA:15:71:BE;;1;No;WPA2,AES-CCM;No;195.0;0;12;0;0;0;0;0;;;Tue Dec 24 18:39:24 2024;Tue Dec 24 18:39:46 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;WiTre_Gast;EA:63:DA:74:57:E3;;1;No;WPA2,AES-CCM;No;195.0;0;5;0;0;0;0;0;;;Tue Dec 24 18:39:24 2024;Tue Dec 24 18:39:43 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;WiTre_IoT;E6:63:DA:74:57:E3;;1;No;WPA2,AES-CCM;No;195.0;0;4;0;0;0;0;0;;;Tue Dec 24 18:39:24 2024;Tue Dec 24 18:39:43 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Vodafone Hotspot;7A:6A:1F:3A:95:99;;1;No;OPN,None;No;195.0;0;16;0;0;0;0;0;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:46 2024;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Vodafone Homespot;7A:6A:1F:3A:95:B9;;1;No;OPN,None;No;195.0;0;20;0;0;0;0;0;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:46 2024;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Schirmakazie2;78:6A:1F:3A:95:E9;;1;No;WPA2,AES-CCM;No;195.0;0;18;0;4;0;0;4;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:46 2024;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;FRITZ!Box Fon WLAN 7270;C0:25:06:0D:4B:7D;;1;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;15;0;0;0;0;0;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:47 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;uniwifi;E0:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;13;0;0;0;0;0;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:46 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;WiTre_Gast;EA:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;8;0;0;0;0;0;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:35 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Schirmakazie;24:65:11:8A:E8:9F;;13;No;WPA2,AES-CCM;No;270.0;0;39;0;9;0;0;9;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:50 2024;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;WiTre_IoT;E6:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;10;0;0;0;0;0;;;Tue Dec 24 18:39:25 2024;Tue Dec 24 18:39:46 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;TP-Link_7104;90:9A:4A:07:71:04;;11;No;WPA2,AES-CCM;No;270.0;0;22;0;1;0;0;1;;;Tue Dec 24 18:39:27 2024;Tue Dec 24 18:39:49 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;92:9A:4A:27:71:04;;11;No;WPA2,AES-CCM;No;270.0;0;19;0;0;0;0;0;;;Tue Dec 24 18:39:27 2024;Tue Dec 24 18:39:49 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;SCharger-22KT-S0-NS2352789872;2C:52:AF:15:C8:2A;;11;No;WPA2,AES-CCM;No;65.0;0;17;0;0;0;0;0;;;Tue Dec 24 18:39:27 2024;Tue Dec 24 18:39:49 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;WLAN-343813;CC:D4:2E:20:FE:EA;;11;No;WPA2,AES-CCM;No;720.0;0;18;0;13;0;0;13;;;Tue Dec 24 18:39:27 2024;Tue Dec 24 18:39:49 2024;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Vodafone Homespot;FA:5E:42:27:6C:CA;;6;No;OPN,None;No;195.0;0;2;0;0;0;0;0;;;Tue Dec 24 18:39:28 2024;Tue Dec 24 18:39:28 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Vodafone Hotspot;FA:5E:42:27:6C:CC;;6;No;OPN,None;No;195.0;0;2;0;0;0;0;0;;;Tue Dec 24 18:39:28 2024;Tue Dec 24 18:39:28 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Vodafone-6CC4;F8:5E:42:27:6C:C8;;6;No;WPA2,AES-CCM;No;195.0;0;2;0;1;0;0;1;;;Tue Dec 24 18:39:28 2024;Tue Dec 24 18:39:39 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;FRITZ!Box 7430 NH;7C:FF:4D:58:DC:D8;;6;No;WPA2,AES-CCM;No;195.0;0;3;0;0;0;0;0;;;Tue Dec 24 18:39:28 2024;Tue Dec 24 18:39:46 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;CC:CE:1E:6A:A9:54;;11;No;WPA,None;No;-1.0;0;0;0;7;0;0;7;;;Tue Dec 24 18:39:31 2024;Tue Dec 24 18:39:42 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;uniwifi;E0:63:DA:15:71:BE;;1;No;WPA2,AES-CCM;No;195.0;0;5;0;0;0;0;0;;;Tue Dec 24 18:39:32 2024;Tue Dec 24 18:39:46 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
