Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;KabelBox-2298;54:67:51:0B:07:7F;;6;No;WPA2,AES-CCM;No;195.0;0;1;0;1;0;0;1;;;Fri Jan 26 17:00:37 2024;Fri Jan 26 17:00:37 2024;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Vodafone Hotspot;46:67:51:0B:07:7F;;6;No;OPN,None;No;195.0;0;1;0;2;0;0;2;;;Fri Jan 26 17:00:37 2024;Fri Jan 26 17:00:37 2024;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.7;
3;infrastructure;Vodafone Homespot;4A:67:51:0B:07:7F;;6;No;OPN,None;No;195.0;0;1;0;2;0;0;2;;;Fri Jan 26 17:00:37 2024;Fri Jan 26 17:00:37 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.7;
4;infrastructure;Schirmakazie;24:65:11:8A:E8:9F;;13;No;WPA2,AES-CCM;No;270.0;0;178;0;17;0;0;17;;;Fri Jan 26 17:00:37 2024;Fri Jan 26 17:00:55 2024;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
